38,182,-232,-113,38,182,188,307,149,-28,19,9
-8,136,286,-103,-213,-162,-8,136,286,317,207,258,233,-32,1,5
-8,142,286,-187,-114,-221,-8,142,286,233,306,199,179,-16,2,9
42,186,-132,-229,42,186,288,191,256,-44,5,8
136,280,-178,-154,136,280,242,266,205,-24,0,8
164,308,-152,-174,164,308,268,246,317,-4,0,10
68,212,-134,-151,68,212,286,269,220,0,0,7
-50,94,246,-222,-225,-179,-50,94,246,198,195,241,136,-24,7,7
82,226,-214,-239,82,226,206,181,145,0,2,-3
20,164,-230,-138,20,164,190,282,153,-4,1,10
42,194,-177,-105,42,194,243,315,176,-8,4,3
36,180,-229,-129,36,180,191,291,132,-24,1,7
-34,118,262,-209,-127,-161,-34,118,262,211,293,259,236,-20,8,10
-44,100,250,-180,-213,-127,-44,100,250,240,207,293,137,-12,1,4
54,206,-114,-156,54,206,306,264,286,-12,3,10
86,238,-117,-113,86,238,303,307,242,-8,11,10
82,226,-113,-145,82,226,307,275,247,-36,4,10
32,176,-203,-165,32,176,217,255,166,-20,1,7
356,500,-143,-148,356,500,277,272,226,-12,0,10
38,190,-170,-104,38,190,250,316,181,0,4,4
82,234,-175,-187,82,234,245,233,179,-36,3,1
34,178,-146,-120,34,178,274,300,251,-40,3,10
14,166,-196,-212,14,166,224,208,205,-8,4,10
86,238,-212,-105,86,238,208,315,194,0,7,2
74,226,-212,-231,74,226,208,189,144,-40,5,-2
44,188,-101,-153,44,188,319,267,256,-16,1,7
20,164,-228,-132,20,164,192,288,168,-4,1,8
76,226,-201,-164,76,226,219,256,198,-32,1,2
-18,134,278,-123,-152,-173,-18,134,278,297,268,247,228,-44,6,4
120,264,-218,-232,120,264,202,188,130,0,0,10
412,556,-193,-197,412,556,227,223,264,-40,0,10
-48,96,246,-130,-127,-239,-48,96,246,290,293,181,292,-16,1,10
8,158,-220,-149,8,158,200,271,186,-16,2,10
88,232,-182,-119,88,232,238,301,179,-4,0,2
-42,102,254,-124,-201,-186,-42,102,254,296,219,234,160,-28,3,-1
38,190,-102,-206,38,190,318,214,251,-8,6,5
104,248,-166,-149,104,248,254,271,-16,-12,0,10
92,236,-198,-214,92,236,222,206,-45,-24,0,7
116,260,-121,-216,116,260,299,204,-34,-44,0,9
136,280,-228,-196,136,280,192,224,126,-20,0,-2
54,206,-118,-113,54,206,302,307,280,-12,3,10
-22,130,274,-228,-213,-177,-22,130,274,192,207,243,211,-12,8,10
-30,114,266,-213,-222,-123,-30,114,266,207,198,297,142,-4,3,8
-42,110,254,-190,-180,-108,-42,110,254,230,240,312,181,-40,34,9
70,222,-232,-149,70,222,188,271,165,-44,9,8
34,178,-212,-100,34,178,208,320,153,-32,5,7
74,218,-110,-166,74,218,310,254,242,-44,2,10
86,230,-189,-182,86,230,231,238,213,0,6,4
24,168,-223,-133,24,168,197,287,151,-32,1,8
-42,110,254,-237,-119,-132,-42,110,254,183,301,288,244,-24,6,10
82,234,-235,-169,82,234,185,251,165,-28,3,5
140,284,-124,-105,140,284,296,315,222,-20,0,6
104,248,-148,-218,104,248,272,202,172,-28,0,-2
116,260,-190,-239,116,260,230,181,144,-44,0,9
112,256,-163,-100,112,256,257,320,194,-8,0,4
100,244,-208,-206,100,244,212,214,151,0,0,5
-40,104,254,-200,-105,-112,-40,104,254,220,315,308,243,-4,1,10
-28,116,266,-130,-179,-174,-28,116,266,290,241,246,183,-44,1,-1
48,192,-148,-132,48,192,272,288,253,-12,0,9
-52,92,242,-188,-189,-110,-52,92,242,232,231,310,174,-24,1,5
136,280,-167,-204,136,280,253,216,183,-24,0,6
-32,118,262,-235,-105,-180,-32,118,262,185,315,240,174,-40,2,10
156,300,-99,-199,156,300,321,221,232,0,0,10
28,172,-221,-218,28,172,199,202,162,0,1,8
84,234,-117,-144,84,234,303,276,240,-8,1,10
4,148,298,-237,-166,-166,4,148,298,183,254,254,163,0,1,10
-42,110,254,-111,-206,-223,-42,110,254,309,214,197,155,-16,6,-4
82,226,-167,-235,82,226,253,185,195,-40,2,6
464,608,-102,-210,464,608,318,210,203,-24,0,-3
-20,124,274,-179,-190,-160,-20,124,274,241,230,260,172,-44,1,4
28,172,-162,-138,28,172,258,282,244,-32,1,10
82,234,-117,-146,82,234,303,274,241,-28,5,10
88,232,-112,-162,88,232,308,258,314,-36,0,10
88,232,-213,-134,88,232,207,286,216,-32,0,10
128,272,-214,-224,128,272,206,196,132,-4,0,5
80,224,-161,-148,80,224,259,272,201,-12,0,7
100,244,-105,-148,100,244,315,272,259,-28,0,8
4,148,298,-230,-161,-190,4,148,298,190,259,230,121,-16,1,5
108,252,-182,-100,108,252,238,320,174,-20,0,1
124,268,-210,-127,124,268,210,293,140,-40,0,5
-10,134,286,-213,-121,-151,-10,134,286,207,299,269,187,0,3,10
-12,138,282,-188,-118,-111,-12,138,282,232,302,309,214,-24,2,10
12,156,-171,-141,12,156,249,279,232,-12,1,10
112,256,-213,-122,112,256,207,298,148,-4,0,1
10,154,-192,-121,10,154,228,299,194,-32,5,10
8,152,-152,-222,8,152,268,198,195,-24,1,3
112,256,-190,-117,112,256,230,303,171,-8,0,7
52,196,-100,-107,52,196,320,313,301,-16,0,10
116,260,-132,-155,116,260,288,265,225,0,0,7
-20,130,274,-167,-132,-154,-20,130,274,253,288,266,214,-32,2,9
-40,110,254,-163,-141,-112,-40,110,254,257,279,308,215,-44,2,8
116,260,-223,-196,116,260,197,224,140,-16,0,0
48,192,-147,-120,48,192,273,300,252,-20,0,10
-6,146,290,-237,-159,-159,-6,146,290,183,261,261,165,-44,6,10
280,424,-204,-192,280,424,216,228,293,-8,0,10
12,156,-226,-182,12,156,194,238,173,-8,1,10
52,202,-166,-110,52,202,254,310,232,-24,1,10
-28,122,266,-153,-124,-193,-28,122,266,267,296,227,238,0,2,10
74,226,-188,-119,74,226,232,301,216,-44,3,7
82,234,-178,-204,82,234,242,216,182,-32,7,1
28,172,-218,-161,28,172,202,259,187,-44,1,10
30,174,-231,-134,30,174,189,286,148,-8,7,7
78,222,-120,-146,78,222,300,274,243,-8,4,10
-48,102,246,-186,-192,-220,-48,102,246,234,228,200,171,-20,2,6
-24,120,270,-218,-117,-153,-24,120,270,202,303,267,239,-4,1,10
40,190,-147,-222,40,190,273,198,250,-32,2,10
84,228,-230,-119,84,228,190,301,131,-40,0,3
12,162,-235,-144,12,162,185,276,162,-12,2,10
-26,118,270,-200,-152,-121,-26,118,270,220,268,299,190,-16,5,10
-4,140,290,-206,-215,-186,-4,140,290,214,205,234,155,-24,1,8
24,168,-145,-183,24,168,275,237,254,-4,1,10
76,220,-147,-166,76,220,273,254,192,-40,0,1
14,158,-221,-101,14,158,199,319,168,-24,3,10
-46,98,250,-238,-165,-193,-46,98,250,182,255,227,197,-24,3,10
-52,92,242,-204,-134,-206,-52,92,242,216,286,214,279,-20,1,10
132,276,-179,-156,132,276,241,264,161,-40,0,6
96,240,-239,-221,96,240,181,199,116,-24,0,5
-12,138,282,-220,-152,-118,-12,138,282,200,268,302,186,-40,2,10
108,252,-202,-203,108,252,218,217,156,-12,0,4
128,272,-239,-200,128,272,181,220,110,-44,0,4
82,234,-175,-229,82,234,245,191,187,-40,11,-2
26,170,-223,-115,26,170,197,305,161,-36,9,9
36,180,-151,-105,36,180,269,315,222,0,1,5
48,198,-139,-149,48,198,281,271,264,-28,1,10
124,268,-144,-132,124,268,276,288,211,-40,0,5
96,240,-168,-130,96,240,252,290,189,-12,0,8
84,234,-133,-157,84,234,287,263,269,-40,1,10
46,198,-207,-211,46,198,213,209,191,-32,3,10
160,304,-219,-131,160,304,201,289,171,-20,0,-2
-44,106,250,-187,-124,-169,-44,106,250,233,296,251,239,-24,2,10
-50,94,246,-147,-225,-142,-50,94,246,273,195,278,138,0,13,-3
42,186,-141,-190,42,186,279,230,257,0,7,10
0,144,294,-219,-169,-125,0,144,294,201,251,295,169,-32,1,10
78,230,-209,-159,78,230,211,261,153,-44,3,6
86,238,-124,-197,86,238,296,223,276,-44,3,10
-30,122,266,-215,-124,-171,-30,122,266,205,296,249,227,-12,6,10
66,218,-180,-213,66,218,240,207,170,-44,11,5
156,300,-189,-130,156,300,231,290,198,-20,0,4
68,218,-119,-193,68,218,301,227,282,-40,1,10
-50,94,246,-230,-135,-171,-50,94,246,190,285,249,220,-32,3,10
18,162,-227,-190,18,162,193,230,172,-44,7,10
104,248,-200,-110,104,248,220,310,162,-8,0,7
62,206,-145,-108,62,206,275,312,252,-24,4,10
76,220,-164,-164,76,220,256,256,194,-44,0,5
38,182,-218,-144,38,182,202,276,173,-8,7,9
74,226,-185,-231,74,226,235,189,166,-8,3,9
12,156,-197,-99,12,156,223,321,176,-20,1,8
88,232,-186,-170,88,232,234,250,162,-4,0,6
24,174,-215,-142,24,174,205,278,184,-44,2,10
62,206,-179,-148,62,206,241,272,222,-28,4,10
78,222,-185,-99,78,222,235,321,162,0,2,-1
90,234,-223,-161,90,234,197,259,141,-24,2,6
50,194,-107,-164,50,194,313,256,296,-44,6,10
-14,138,282,-160,-220,-168,-14,138,282,260,200,252,169,-24,6,0
80,224,-207,-152,80,224,213,268,136,-8,0,7
44,188,-107,-99,44,188,313,321,294,0,1,10
90,242,-204,-235,90,242,216,185,156,-12,7,-1
-6,138,290,-218,-113,-103,-6,138,290,202,307,317,194,-36,3,10
38,182,-150,-215,38,182,270,205,256,-12,13,10
116,260,-108,-146,116,260,312,274,245,-44,0,7
66,210,-140,-152,66,210,280,268,265,-44,4,10
80,230,-232,-125,80,230,188,295,128,-16,1,5
4,148,298,-234,-147,-172,4,148,298,186,273,248,146,-36,1,9
92,236,-201,-151,92,236,219,269,150,-12,0,6
26,170,-218,-133,26,170,202,287,147,-4,5,7
84,228,-121,-226,84,228,299,194,286,-12,0,9
90,242,-230,-109,90,242,190,311,130,-24,9,-1
-34,110,262,-232,-141,-159,-34,110,262,188,279,261,216,-20,3,10
82,226,-180,-105,82,226,240,315,182,-12,6,4
-50,94,246,-227,-125,-161,-50,94,246,193,295,259,237,-20,7,10
76,220,-144,-225,76,220,276,195,255,-40,0,10
32,176,-216,-103,32,176,204,317,183,-44,1,10
84,228,-218,-199,84,228,202,221,141,-12,0,5
18,162,-230,-136,18,162,190,284,172,0,5,10
78,230,-229,-195,78,230,191,225,117,0,3,0
34,178,-191,-106,34,178,229,314,168,-32,7,4
348,492,-188,-138,348,492,232,282,380.48,-32,0,10
0,150,294,-233,-106,-150,0,150,294,187,314,270,144,-28,2,9
76,226,-228,-140,76,226,192,280,133,-16,1,-3
-28,116,266,-235,-107,-213,-28,116,266,185,313,207,255,-28,1,10
-46,106,250,-138,-213,-132,-46,106,250,282,207,288,151,-44,6,-2
-34,110,262,-197,-162,-230,-34,110,262,223,258,190,200,0,9,10
30,174,-122,-159,30,174,298,261,275,-20,5,9
84,234,-129,-173,84,234,291,247,276,-32,1,10
84,234,-104,-235,84,234,316,185,255,-36,1,10
26,170,-202,-106,26,170,218,314,170,-4,5,8
86,230,-105,-179,86,230,315,241,255,-12,4,10
74,226,-210,-153,74,226,210,267,143,-20,3,1
82,226,-104,-159,82,226,316,261,302,-16,2,10
484,628,-191,-102,484,628,229,318,236,-36,0,-8
484,628,-129,-143,484,628,291,277,241,-24,0,-8
18,170,-214,-234,18,170,206,186,184,-12,10,10
488,632,-126,-179,488,632,294,241,243,-20,0,-9
42,186,-144,-104,42,186,276,316,237,-36,3,8
100,244,-216,-200,100,244,204,220,223,-20,0,-5
-48,96,246,-169,-161,-111,-48,96,246,251,259,309,202,-20,1,7
-8,136,286,-187,-189,-225,-8,136,286,233,231,195,193,-24,1,8
-46,98,250,-156,-104,-161,-46,98,250,264,316,259,245,-36,5,10
34,178,-144,-191,34,178,276,229,254,-28,15,8
14,166,-229,-153,14,166,191,267,142,-24,6,9
86,230,-204,-235,86,230,216,185,160,0,4,8
4,154,298,-236,-131,-134,4,154,298,184,289,286,162,-20,2,9
20,164,-235,-147,20,164,185,273,165,0,1,9
6,150,-202,-235,6,150,218,185,175,-32,5,10
76,220,-178,-239,76,220,242,181,181,-8,0,7
34,178,-228,-134,34,178,192,286,136,-44,15,7
62,214,-166,-230,62,214,254,190,170,-28,13,4
88,232,-230,-219,88,232,190,201,175,0,0,3
98,242,-233,-136,98,242,187,284,131,-12,8,-1
